0.0000000000e+00, 0.0000000000e+00
5.0000000745e-02, 1.6570947266e+03
9.0000003576e-02, 2.9748249512e+03
1.2999999523e-01, 4.2850590820e+03
1.7000000179e-01, 5.5872958984e+03
2.0999999344e-01, 6.8809091797e+03
2.5000000000e-01, 8.1651103516e+03
2.8999999166e-01, 9.4388994141e+03
3.3000001311e-01, 1.0700993164e+04
3.7000000477e-01, 1.1949738281e+04
4.0999999642e-01, 1.3182986328e+04
4.4999998808e-01, 1.4397928711e+04
4.9000000954e-01, 1.5590894531e+04
5.2999997139e-01, 1.6757085938e+04
5.6999999285e-01, 1.7890302734e+04
6.1000001431e-01, 1.8982695312e+04
6.4999997616e-01, 2.0024683594e+04
6.8999999762e-01, 2.1004458984e+04
7.3000001907e-01, 2.1901912109e+04
7.6999998093e-01, 2.2634994141e+04
8.1000000238e-01, 2.3000935547e+04
8.5000002384e-01, 2.2623142578e+04
8.8999998569e-01, 2.0503060547e+04
9.3000000715e-01, 1.8542734375e+04
9.7000002861e-01, 1.7307818359e+04
1.0099999905e+00, 1.6421744141e+04
1.0499999523e+00, 1.5738733398e+04
1.0900000334e+00, 1.5179642578e+04
1.1299999952e+00, 1.4705342773e+04
1.1699999571e+00, 1.4290107422e+04
1.2100000381e+00, 1.3924886719e+04
1.2500000000e+00, 1.3597356445e+04
1.2899999619e+00, 1.3300709961e+04
1.3300000429e+00, 1.3029325195e+04
1.3700000048e+00, 1.2779578125e+04
1.4099999666e+00, 1.2548911133e+04
1.4500000477e+00, 1.2333793945e+04
1.4900000095e+00, 1.2132491211e+04
1.5299999714e+00, 1.1943752930e+04
1.5700000525e+00, 1.1766415039e+04
1.6100000143e+00, 1.1598986328e+04
1.6499999762e+00, 1.1440166992e+04
1.6900000572e+00, 1.1289666992e+04
1.7300000191e+00, 1.1146497070e+04
1.7699999809e+00, 1.1009640625e+04
1.8099999428e+00, 1.0878898438e+04
1.8500000238e+00, 1.0753767578e+04
1.8899999857e+00, 1.0633828125e+04
1.9299999475e+00, 1.0518673828e+04
1.9700000286e+00, 1.0407909180e+04
2.0000000000e+00, 1.0327537109e+04
